city_name,city_code
Belle Meade,20021518
Belle Plaine,20066725
Belle River,20048383
Belle Vernon,20105799
Belleair,20021519
Belleair Beach,20021520
Belleair Shores,20021522
Bellefontaine,20097050
Bellefonte,20105801
Bellemont,20005769
Bellerose Terrace,20084956
Belleview,20084957
Belleview Island,900007195
Belleville,20080581
Belleville,20032784
Belleville,20063950
Belleville,20149396
Belleville,20042152
Bellevue,20143074
Bellevue,20077711
Bellevue,20031394
Bellevue,20120548
Bellevue,20043932
Bellevue,20097054
Bellevue,20039977
Bellevue Manor Trailer Park,20076099
Bellflower,20011579
Bellingham,20143075
Bellmawr,20080582
Bellmead,20126534
Bellows Falls,20134537
Bellport,20084964
Bells,20120550
Bells Beach,20143076
Bellview,20091150
Bellville,20097055
Bellwood,20105818
Belmar,20077713
Belmar,20080586
Belmont,20061681
Belmont,20091152
Belmont,20011584
Belmont,20149400
Belmont,20079484
Belmont,20097056
Belmont Shore,20011585
Beloit,20149401
Beloit,20042155
Belton,20071775
Belton,20126542
Beltsville,20053950
Belvedere,20011586
Belvidere,20080587
Belvidere,20032793
Belzoni,20068871
Bemidji,20066733
Bemis,20051507
Bemis,20061684
Ben Lomond,20011591
Bena,20066735
Benbar,20120569
Benbow,20011593
Benbrook,20126551
Bend,20104057
Benicia,20011595
Bennettsville,20115565
Bennington,20134541
Benoit,20149405
Bensalem,20105850
Bensenville,20032799
Benson,20091165
Benson,20084984
Benson,20005771
Bent Creek,20091166
Bentleyville,20105854
Benton,20043951
Benton,20120575
Benton,20032802
Benton,20105855
Benton,20007848
Benton Harbor,20063964
Benton Hot Springs,20011599
Bentonville,20007849
Bentonville,20135885
Benzonia,20063966
Berea,20043952
Berea,20097075
Beresford,20119372
Bergen,20080594
Bergenfield,20080597
Bergland,20063967
Berkeley,20071796
Berkeley,20011602
Berkeley Heights,20080599
Berkeley Springs,20145676
Berkley,20063968
Berlin,20053988
Berlin,20149410
Berlin,20079488
Berlin,20097081
Berlin,20061690
Berlin,900051139
Berlin,20080602
Berlin Center,20097082
Bermuda Dunes,20011603
Bermuda Run,20091174
Bern,20011605
Bernalillo,20083104
Bernardston,20061691
Bernardsville,20080604
Berne,20143086
Berne,20036642
Berrien Springs,20063973
Berrys Crossroads,20115575
Berryville,20120590
Berryville,20135903
Bertha,20135904
Berthoud,20017106
Berthoud Falls,20017107
Bertram,20126573
Berwick,20048413
Berwick,20105874
Berwyn,20032815
Berwyn,20105877
Bessemer,20063978
Bessemer,20000325
Bessemer City,20091179
Bethania Station,20091184
Bethany,20071809
Bethany,20102173
Bethany Beach,20019682
Bethany Village,20019684
Bethel,20105891
Bethel,20018599
Bethel,900051060
Bethel,20104062
Bethel,20005012
Bethel,20134547
Bethel,20051519
Bethesda,20054014
Bethlehem,20105898
Bethlehem,20079491
Bethpage,20085014
Bethune Beach,20021550
Bettendorf,20039999
Bettles,20005013
Betzwood,20105901
Beulah,20095942
Beulah,20063985
Beulah,20021552
Beverley Beach,20021556
Beverly,20061694
Beverly Beach,20021559
Beverly Beach,20104066
Beverly Glen,20011621
Beverly Hills,20011622
Beverly Shores,20036653
Bicknell,20132631
Biddeford,20051521
Biddeford Pool,20051522
Big Bar,20011625
Big Bear City,20011628
Big Bear Lake,20011629
Big Blackjack Landing,20021565
Big Cedar,20102178
Big Coppitt Key,20021566
Big Creek,20025076
Big Creek,20025075
Big Creek,20011635
Big Indian,20085025
Big Key,900007231
Big Lake,20126605
Big Lake,20066757
Big Lake,20005016
Big Meadows,20135949
Big Moose,20085027
Big Mountain Trailer Park,20076115
Big Oak Flat,20011638
Big Pine,20011639
Big Pine,20021568
Big Pine Key,20021569
Big Rapids,20063993
Big Sky,20076120
Big Sky Canyon Village,20076121
Big Sky Meadow Village,20076124
Big Sky Mobile Home Court,20076125
Big Sky Mountain Village,20076127
Big Spring,20126608
Big Springs,20077728
Big Stone Gap,20135953
Big Sur,20011644
Big Timber,20076129
Big Water,20132634
Big Woods,20043991
Bigfork,20076130
Biggar,20021571
Biggs Junction,20104067
Bighorn,20017118
Bijou,20011649
Bijou Park,20011650
Bill,20151658
Billerica,20061698
Billings,20076133
Biloxi,20068916
Bingham,20063997
Binghamton,20085036
Birch Bay,20143105
Birch Ocean Front,20021576
Birch Run,20064002
Birchfield,20143107
Birchwood,20149423
Birchwood-Pocono Airpark,900030724
Bird Creek,900058402
Bird Crossroad,20120661
Bird in Hand,20105952
Bird Springs,20071836
Birds Nest,20097117
Birmingham,20064008
Birmingham,20000374
Bisbee,20005791
Biscayne Park,20021578
Biscayne Seaplane Base,900007293
Biscoe,20091226
Bishop,20126621
Bishop,20011659
Bishopville,20115601
Bishopville,20097121
Biskra Palms,20011660
Bismarck,900056643
Bismarck,20095945
Bison,20145728
Bithlo,20021580
Bittinger,20054054
Biwabik,20066772
Black Butte Ranch,20104074
Black Canyon City,20005796
Black Hawk,20017124
Black Jack Island,900007303
Black Mountain,20091233
Black River Falls,20149430
Blackduck,20066776
Blackfoot,20031420
Blackhawk,20119385
Blackinton,20061704
Blackjack,20097132
Blackjack Lodge Condominiums,20132640
Blacklick,20097133
Blacksburg,20135982
Blackshear,20025100
Blackstone,20135984
Blacktail,20076149
Blackwater,20071854
